,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23
"arc4_(1,2)",0.035121128,0.42800546,-0.035121143,0.0843238,0.5719946,-0.08432381,-0.05149596,-0.0466264,0.051495958,0.03164922,0.0466264,-0.031649217,-0.045548864,0.011607207,0.04554888,0.0146988565,-0.0116072055,0.0190802,-0.03138002,-0.0076074973,0.015188836,0.00760749,0.03138002,-0.01518885
"arc5_(1,2)",-0.044273492,0.11432318,0.04427349,0.42358077,-0.11432318,0.5764192,0.034234397,-0.02597891,-0.034234397,-0.0076643857,0.02597891,0.0076643894,-0.0062128827,-0.046368185,0.006212895,-0.0032770878,0.046368208,-0.02175124,0.042566244,-0.06162867,-0.012284018,0.061628662,-0.042566244,0.012284018
"arc0_(2,0)",-0.0024291452,-0.013810992,0.0024291452,0.01314931,0.013810998,-0.013149308,0.61753994,-0.08282416,0.38246015,0.14043826,0.08282416,-0.14043826,-0.042955175,-0.035690054,0.042955186,0.015233912,0.035690054,-0.09415811,0.041505635,-0.04627838,-0.0795325,0.046278372,-0.04150563,0.0795325
"arc1_(2,0)",-0.011588571,-0.014735013,0.011588578,0.09147706,0.014735014,-0.09147705,-0.06272747,0.6550301,0.06272749,-0.14629129,0.34496993,0.14629127,0.015213187,-0.049265362,-0.015213181,-0.049740605,0.04926537,0.10274283,-0.08995204,0.057398297,0.057582796,-0.057398297,0.08995204,-0.0575828
"arc2_(2,0)",0.0024291452,0.013810992,-0.0024291452,-0.01314931,-0.013810998,0.013149308,0.38246015,0.08282416,0.61753994,-0.14043826,-0.08282416,0.14043826,0.042955175,0.035690054,-0.042955186,-0.015233912,-0.035690054,0.09415811,-0.041505635,0.04627838,0.0795325,-0.046278372,0.04150563,-0.0795325
"arc3_(2,0)",-0.0024291587,-0.013810984,0.0024291587,0.013149294,0.013810987,-0.013149287,0.11753976,-0.08282413,-0.11753976,0.64043814,0.08282413,0.35956174,-0.04295518,-0.035690036,0.042955175,0.0152338995,0.035690054,-0.09415811,0.041505616,-0.04627835,-0.07953246,0.046278358,-0.041505612,0.07953247
"arc4_(2,0)",0.011588571,0.014735013,-0.011588578,-0.09147706,-0.014735014,0.09147705,0.06272747,0.34496993,-0.06272749,0.14629129,0.6550301,-0.14629127,-0.015213187,0.049265362,0.015213181,0.049740605,-0.04926537,-0.10274283,0.08995204,-0.057398297,-0.057582796,0.057398297,-0.08995204,0.0575828
"arc5_(2,0)",0.0024291587,0.013810984,-0.0024291587,-0.013149294,-0.013810987,0.013149287,-0.11753976,0.08282413,0.11753976,0.35956174,-0.08282413,0.64043814,0.04295518,0.035690036,-0.042955175,-0.0152338995,-0.035690054,0.09415811,-0.041505616,0.04627835,0.07953246,-0.046278358,0.041505612,-0.07953247
"arc0_(2,1)",-0.001999503,-0.00088960683,0.0019994956,-0.0068883523,0.00088960637,0.00688836,-0.0013354196,-0.036608413,0.0013354187,0.0060408744,0.036608405,-0.006040869,0.6929443,-0.15974292,0.30705568,0.13834168,0.1597429,-0.109330654,-0.026909646,-0.0033545047,-0.010791965,0.0033545047,0.026909646,0.010791972
"arc1_(2,1)",0.001999459,0.0008896266,-0.0019994702,0.0068883444,-0.000889619,-0.006888352,0.0013354471,0.0366084,-0.0013354431,-0.006040854,-0.0366084,0.006040854,-0.19294432,0.65974283,0.19294436,-0.13834168,0.34025708,0.109330684,0.026909621,0.0033545122,0.010792004,-0.0033545122,-0.026909614,-0.010791993
